,nome_repositorio,linguagem
0,.github,
1,ads-advanced-tools-docs,Jupyter Notebook
2,ads-pao-amznjs-gtm-server-side-template,Smarty
3,ads-pao-amznjs-gtm-template,Smarty
4,alexa-coho,JavaScript
5,alexa-skills-kit-js,
6,amazon-ads-advertiser-audience-normalization-sdk-py,Python
7,amazon-advertising-api-php-sdk,PHP
8,amazon-codeguru-profiler-for-spark,Java
9,amazon-frustration-free-setup-certification-tool,Python
10,amazon-hub-counter-api-docs,CSS
11,amazon-hub-counter-api-samples,Java
12,amazon-hub-counter-sdk-java,Java
13,amazon-hub-support,PowerShell
14,amazon-instant-access-sdk-java,Java
15,amazon-instant-access-sdk-net,C#
16,amazon-instant-access-sdk-php,PHP
17,amazon-instant-access-sdk-ruby,Ruby
18,amazon-launcher-integration-cordova-plugin,JavaScript
19,amazon-marketing-stream-examples,Python
20,amazon-mcf-plugin-for-magento-1,
21,amazon-multi-token-completion,Python
22,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
23,amazon-pay-api-sdk-dotnet,C#
24,amazon-pay-api-sdk-java,Java
25,amazon-pay-api-sdk-nodejs,JavaScript
26,amazon-pay-api-sdk-php,PHP
27,amazon-pay-api-sdk-ruby,Ruby
28,amazon-pay-code-samples,PHP
29,amazon-pay-sdk-csharp,C#
30,amazon-pay-sdk-java,Java
31,amazon-pay-sdk-php,PHP
32,amazon-pay-sdk-python,Python
33,amazon-pay-sdk-ruby,Ruby
34,amazon-payment-files-tools,Kotlin
35,amazon-payments-magento-2-plugin,PHP
36,amazon-ray,Python
37,amazon-s3-gst-plugin,C
38,amazon-sidewalk-android-samples,
39,amazon-sidewalk-ios-samples,Swift
40,amazon-succinct-doc-representation,Python
41,amazon-template-library,
42,amazon-weak-ner-needle,Python
43,amigitenough,Go
44,amzn-drivers,C
45,amzn-ec2-ena-utilities,Python
46,app-platform,Kotlin
47,armbench,Python
48,augment-the-pairs-wacv2024,Python
49,autotrail,
50,aws-apigateway-client-lib,
51,aws-sigv4-signing-samples,Java
52,AWSSecurityCareerPathwayActivityRust,Rust
53,awsssmchaosrunner,Kotlin
54,basis-point-sets,Python
55,BayesPE,Python
56,buy-with-prime-cdk-constructs,TypeScript
57,buy-with-prime-monitoring-sample-cdk,TypeScript
58,chalet-charging-location-for-electric-trucks,Python
59,computer-vision-basics-in-microsoft-excel,
60,confident-sinkhorn-allocation,Jupyter Notebook
61,convolutional-handwriting-gan,Python
62,cosearcher,Python
63,credence-to-causal-estimation,Python
64,data-jack-knife,Java
65,debiased-balanced-interleaving,Jupyter Notebook
66,differential-privacy-bayesian-optimization,Python
67,distance-assistant,Python
68,drs-sample-android-app,Java
69,drs-sample-ios-app,Objective-C
70,DynamicTrafficEngine,Java
71,efa-dp-direct,Cuda
72,emukit-playground,JavaScript
73,eslint-plugin-no-date-parsing,TypeScript
74,exoplayer-amazon-port,Java
75,explainable-text-vqa,
76,extremely-efficient-query-encoder,Python
77,faithful-data2text-cycle-training,Python
78,fashion-attribute-disentanglement,Python
79,fire-app-builder,Java
80,firetv-sample-touch-app,Java
81,fkat,Python
82,FloPro,
83,ftv-integration-sdk-sample-app,Kotlin
84,ftv-livetv-sample-tv-app,Java
85,gameon-sample-game-unity,C#
86,gameon-starter-kit-unity,C#
87,git-commit-template,JavaScript
88,glad,JavaScript
89,golang-gitoperations,Go
90,gpt-oss.java,Java
91,halo-third-party-sdk-for-java,Java
92,halo-third-party-sdk-for-node-js,TypeScript
93,halo-third-party-sdk-for-python,Python
94,hawktracer,C++
95,image-misspell-coling2020,
96,image-to-recipe-transformers,Python
97,informative-diverse-hard-negative-sampling,Python
98,ion-cascading-config,Java
99,ion-object-mapper-dotnet,C#
100,jekyll-doc-project,HTML
101,kotlin-inject-anvil,Kotlin
102,kqr,
103,lib-3d-scene-viewer,TypeScript
104,login-with-amazon-oscommerce,
105,login-with-amazon-wordpress,
106,media3-external-port,
107,merlin-on-demand-callgraph,JavaScript
108,metalearn-leap,Python
109,milan,Scala
110,MonitoringCustomMetrics,Python
111,mrc-net-6d-pose,Python
112,multiconer-baseline,Python
113,multilingual-keyphrase-generation,Python
114,multimodal-affinities,Python
115,MXFusion,Python
116,nimbus-jose-jwt_aws-kms-extension,Java
117,node-jose_aws-kms-extension,TypeScript
118,openapi-swift-code-generate,Swift
119,orthogonal-additive-gaussian-processes,Python
120,oss-attribution-builder,TypeScript
121,oss-contribution-tracker,TypeScript
122,oss-dashboard,Ruby
123,pecos,Python
124,pretraining-or-self-training,Python
125,python-jose_aws-kms-extension,Python
126,rdma-core,C
127,refuel-open-domain-qa,Python
128,rete-thewebconf-2022,Python
129,rheoceros,Python
130,robotiq-gripper-interface,C++
131,selling-partner-api-docs,
132,selling-partner-api-models,Mustache
133,selling-partner-api-php-release,PHP
134,selling-partner-api-postman,
135,selling-partner-api-samples,Java
136,selling-partner-api-sdk,PHP
137,seqzero,Python
138,service-model-swift-code-generate,Swift
139,sid-provision,Python
140,sid-signing-tool,Python
141,sketch-constructor,JavaScript
142,smoke-aws,Swift
143,smoke-aws-credentials,Swift
144,smoke-aws-generate,Swift
145,smoke-aws-support,Swift
146,smoke-dynamodb,Swift
147,smoke-framework,Swift
148,smoke-framework-application-generate,Swift
149,smoke-framework-examples,Swift
150,smoke-http,Swift
151,sparse-vqvae,Python
152,ss-aga-kgc,Python
153,sto-transformer,Python
154,supply-chain-simulation-environment,Python
